Sitename	VGE	VGN	extant43_01	LandCover	TWIx1000	ThorPot07	ThorInvPot07	RoadDensity5K	AnnualRain	AnnualEvap	NetRainfall	NetRainfallStdev	MaxTempWarmestP	TempRange	Rad_Diffuse	Rad_Direct	PrecipSeasonality	Rad_Duration	MinTempColdestP	PrecipWarmestQ	PrecipColdestQ	NativeTreeProb	TreeProb1Ha_RegionMean	TreeProb10ha_RegionMean	TreeProb1Ha_RegionStdDev	TreeProb10ha_RegionStdDev	NativeGrassProb	GrassProb1Ha_RegionMean	GrassProb1Ha_RegionStdDev	GrassProb10ha_RegionMean	GrassProb10ha_RegionStdDev	B1_98_05	B2_98_05	B3_98_05	B4_98_05	B5_98_05	B7_98_05	Ndvi_89_05	Ndwi_89_05_Mean	Ndwi_89_05_StdError	B3_98_05_10ha_Mean	B4_98_05_10ha_Mean	B5_98_05_10ha_Mean	B6_98_05_10ha_Mean	Nvdi_98_05_10haMean	B3_98_05_10ha_StdDev	B4_98_05_10ha_StdDev	B5_98_05_10ha_StdDev	B6_98_05_10ha_StdDev	RiseX	RiseY	Height_100	Slope	Aspect	SalineLogDist	DistToRoad	FreshWaterLogDist	Flood	DistEdge	CurVegSat_PC1	CurVegSat_PC2	CurVegSat_PC3	CurVegSat_PC4	ClimTopo_PC1	ClimTopo_PC2	ClimTopo_PC3	ClimTopo_PC4
14.4.1 GHCMA	2296812.939	2388046.483	1	4	8525	385	471	49	635	1255	-620	71	248	208	333837	1017474	22	4355	41	107	196	100	100	100	0	0.408470094	63	46	15.62552834	32	17.75919724	47	33	40	57	113	54	0.183824494	-0.325241923	0.072494037	46	67	132	59	0.18494685	4	6	13	5	0.819468379	-1.541187882	135	1	152	13.22535992	0	22	1	25	2.923141718	-2.276928425	2.13274765	0.60092324	0.107928663	0.585258007	1.7184515	0.185119838
12.3.1 GHCMA	2296680.465	2400418.332	1	4	9144	697	438	51	601	1255	-654	70	253	214	334956	1022246	22	4315	39	104	181	99	93	97	16.59302711	11.611413	66	61	7.235165596	50	12.77639484	46	33	40	60	117	54	0.233692199	-0.310529381	0.090406872	43	63	130	58	0.193619803	3	2	10	4	-1.700766683	-0.392659158	164	1	257	12.23542023	182.4828949	22	1	100	2.663464069	-2.194746733	2.90908289	0.955500841	0.398019403	1.002080917	0.124429651	-1.465376019
20.4.1 WCMA	2290842.552	2548709.745	1	4	9396	424	398	31	398	1464	-1066	81	297	267	333859	1030261	25	4350	30	71	125	99	99	98	1.521277666	9.631212234	70	27	17.5059166	14	14.8631382	50	35	42	60	118	54	0.17875047	-0.320536971	0.046055619	53	70	133	64	0.139034212	7	5	14	8	0	0	133	0	0	14.67870998	0	39	1	25	3.46133399	-2.507783413	0.803798735	-0.589380026	-2.017357111	0.234638795	-0.623052299	0.755477905
12.2.2 GHCMA	2299347.008	2399806.696	1	4	9210	533	467	33	611	1244	-633	69	252	214	336092	1023911	22	4351	38	106	184	84	87	91	24.04143333	23.76299095	35	47	10.38336563	38	13.52800465	43	29	32	53	85	43	0.270205796	-0.243213162	0.109736189	41	64	125	58	0.217311829	5	6	20	9	4.43E-06	-1.745505214	185	1	180	11.58401966	0	33	1	70	1.626214623	-3.8951509	0.275761217	-0.039154127	0.090323143	0.887441814	1.153266311	-0.431384832
13.3.1 GHCMA	2298648.834	2426519.536	1	4	7830	345	452	53	543	1260	-717	69	260	225	335789	988449	20	4266	35	100	160	24	72	89	32.08827209	24.04095268	75	72	5.315744877	49	21.1496315	41	28	31	57	101	40	0.317549825	-0.260255635	0.096656799	42	65	127	55	0.217531145	6	5	19	10	1.573024988	-6.81345129	229	4	167	12.59035015	0	3	1	50	1.738554478	-5.4351964	1.572277308	0.235136494	0.199431583	-0.332189023	1.386991978	0.063320264
12.1.1 WCMA	2296335.724	2492523.804	1	4	8354	372	385	53	569	1355	-786	81	282	249	335796	998475	30	4311	32	92	195	22	24	22	29.15631104	34.16432953	78	75	9.688235283	54	21.45544815	45	30	33	52	101	44	0.220214054	-0.333707988	0.041976914	31	55	95	41	0.277706832	6	4	20	10	1.878136754	-4.892678738	214	3	159	15.20625019	300	1	1	134	0.851076305	-6.345325947	2.585378647	-1.090633631	-0.621491611	-0.280868828	-0.110187612	-0.117160693
12.1.2 WCMA	2296426.789	2492785.854	1	4	8327	398	481	53	569	1355	-786	81	282	249	335718	1035637	30	4268	33	92	195	82	51	39	32.9250946	30.49575424	76	74	2.808999062	71	7.474553108	47	31	35	51	115	48	0.186136156	-0.396478742	0.039977331	34	54	107	47	0.22873129	3	3	11	6	4.787682533	2.131618977	212	3	66	15.20258045	60	18	1	127	1.465727925	-3.91889596	3.53434515	-0.348586828	-0.703200579	0.419663996	0.025161965	1.020609617
20.1.1 WCMA	2293555.702	2568677.841	1	4	8939	357	461	6	382	1483	-1101	81	301	270	332477	1005338	24	4331	29	70	117	39	42	67	39.51094055	38.93748856	84	65	19.22473526	45	26.83974648	42	29	31	49	104	46	0.223793343	-0.347464144	0.04892382	41	59	113	52	0.188928768	9	8	15	9	0.304363102	-3.478785276	118	2	175	14.26334	42.42641068	40	2	100	1.999556541	-7.451718807	1.93700552	-0.979189157	-2.076650381	-0.440313667	-0.153377444	-0.077104971
14.1.1 GHCMA	2301858.565	2393741.161	1	4	8598	663	443	40	625	1241	-616	70	250	211	335267	1018097	23	4319	39	107	190	100	82	67	23.57520866	37.05617523	74	73	3.544277668	68	11.64524841	46	31	35	62	114	47	0.275108427	-0.294495344	0.094755858	32	59	101	41	0.304280013	2	2	11	5	-0.709956527	-1.59460032	171	1	204	12.81157017	379.4732971	39	1	90	1.516434193	-3.627004385	3.052623749	1.37125659	0.5357548	0.828547418	0.547827721	-0.897940695
14.3.1 GHCMA	2302921.553	2378729.078	1	4	9513	436	489	78	672	1244	-572	71	246	204	333501	1018263	24	4352	41	111	209	100	100	98	0	10.57058144	73	70	1.600595117	67	11.01221752	40	30	34	60	110	41	0.32659772	-0.25354135	0.137322679	35	62	111	43	0.281706452	2	3	7	4	0.653881431	-1.618402839	126	1	158	12.21098042	180	23	1	176	1.403669953	-1.801411748	3.439384222	2.510346413	0.003614527	0.763579845	1.878339529	0.031697009
